year,title,artist,search_url,spotify_url
2024,Lovin on Me,Jack Harlow,https://open.spotify.com/search/Lovin%20on%20Me%20Jack%20Harlow,
2024,Not Like Us,Kendrick Lamar,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,
2024,Espresso,Sabrina Carpenter,https://open.spotify.com/search/Espresso%20Sabrina%20Carpenter,
2024,Million Dollar Baby,Tommy Richman,https://open.spotify.com/search/Million%20Dollar%20Baby%20Tommy%20Richman,
2024,I Remember Everything,Zach Bryan feat. Kacey Musgraves,https://open.spotify.com/search/I%20Remember%20Everything%20Zach%20Bryan%20feat.%20Kacey%20Musgraves,
2024,Too Sweet,Hozier,https://open.spotify.com/search/Too%20Sweet%20Hozier,
2024,Stick Season,Noah Kahan,https://open.spotify.com/search/Stick%20Season%20Noah%20Kahan,
2024,Cruel Summer,Taylor Swift,https://open.spotify.com/search/Cruel%20Summer%20Taylor%20Swift,
2024,Greedy,Tate McRae,https://open.spotify.com/search/Greedy%20Tate%20McRae,
2024,Like That,"Future, Metro Boomin & Kendrick Lamar",https://open.spotify.com/search/Like%20That%20Future%2C%20Metro%20Boomin%20%26%20Kendrick%20Lamar,
2024,Please Please Please,Sabrina Carpenter,https://open.spotify.com/search/Please%20Please%20Please%20Sabrina%20Carpenter,
2024,Agora Hills,Doja Cat,https://open.spotify.com/search/Agora%20Hills%20Doja%20Cat,
2024,"Good Luck, Babe!",Chappell Roan,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,
2024,Saturn,SZA,https://open.spotify.com/search/Saturn%20SZA,
2024,Paint the Town Red,Doja Cat,https://open.spotify.com/search/Paint%20the%20Town%20Red%20Doja%20Cat,
2024,Fortnight,Taylor Swift feat. Post Malone,https://open.spotify.com/search/Fortnight%20Taylor%20Swift%20feat.%20Post%20Malone,
2024,Water,Tyla,https://open.spotify.com/search/Water%20Tyla,
2024,Feather,Sabrina Carpenter,https://open.spotify.com/search/Feather%20Sabrina%20Carpenter,
2024,We Can't Be Friends (Wait for Your Love),Ariana Grande,https://open.spotify.com/search/We%20Can%27t%20Be%20Friends%20%28Wait%20for%20Your%20Love%29%20Ariana%20Grande,
2024,Austin,Dasha,https://open.spotify.com/search/Austin%20Dasha,
2024,Cowgirls,Morgan Wallen feat. ERNEST,https://open.spotify.com/search/Cowgirls%20Morgan%20Wallen%20feat.%20ERNEST,
2024,Pink Skies,Zach Bryan,https://open.spotify.com/search/Pink%20Skies%20Zach%20Bryan,
2024,Texas Hold 'Em,Beyonce,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,
2024,Is It Over Now? (Taylor's Version),Taylor Swift,https://open.spotify.com/search/Is%20It%20Over%20Now%3F%20%28Taylor%27s%20Version%29%20Taylor%20Swift,
2024,Miles on It,Marshmello & Kane Brown,https://open.spotify.com/search/Miles%20on%20It%20Marshmello%20%26%20Kane%20Brown,
2024,I Can Do It with a Broken Heart,Taylor Swift,https://open.spotify.com/search/I%20Can%20Do%20It%20with%20a%20Broken%20Heart%20Taylor%20Swift,
2025,Die with a Smile,Lady Gaga & Bruno Mars,https://open.spotify.com/search/Die%20with%20a%20Smile%20Lady%20Gaga%20%26%20Bruno%20Mars,
2025,Luther,Kendrick Lamar & SZA,https://open.spotify.com/search/Luther%20Kendrick%20Lamar%20%26%20SZA,
2025,Birds of a Feather,Billie Eilish,https://open.spotify.com/search/Birds%20of%20a%20Feather%20Billie%20Eilish,
2025,Ordinary,Alex Warren,https://open.spotify.com/search/Ordinary%20Alex%20Warren,
2025,APT.,ROSE & Bruno Mars,https://open.spotify.com/search/APT.%20ROSE%20%26%20Bruno%20Mars,
2025,Pink Pony Club,Chappell Roan,https://open.spotify.com/search/Pink%20Pony%20Club%20Chappell%20Roan,
2025,Love Somebody,Morgan Wallen,https://open.spotify.com/search/Love%20Somebody%20Morgan%20Wallen,
2025,I'm the Problem,Morgan Wallen,https://open.spotify.com/search/I%27m%20the%20Problem%20Morgan%20Wallen,
2025,That's So True,Gracie Abrams,https://open.spotify.com/search/That%27s%20So%20True%20Gracie%20Abrams,
2025,TV Off,Kendrick Lamar feat. Lefty Gunplay,https://open.spotify.com/search/TV%20Off%20Kendrick%20Lamar%20feat.%20Lefty%20Gunplay,
2025,Timeless,The Weeknd & Playboi Carti,https://open.spotify.com/search/Timeless%20The%20Weeknd%20%26%20Playboi%20Carti,
2025,Just in Case,Morgan Wallen,https://open.spotify.com/search/Just%20in%20Case%20Morgan%20Wallen,
2025,Taste,Sabrina Carpenter,https://open.spotify.com/search/Taste%20Sabrina%20Carpenter,
2025,Squabble Up,Kendrick Lamar,https://open.spotify.com/search/Squabble%20Up%20Kendrick%20Lamar,
2025,30 for 30,SZA & Kendrick Lamar,https://open.spotify.com/search/30%20for%2030%20SZA%20%26%20Kendrick%20Lamar,
2025,Mutt,Leon Thomas,https://open.spotify.com/search/Mutt%20Leon%20Thomas,
2025,Good News,Shaboozey,https://open.spotify.com/search/Good%20News%20Shaboozey,
2025,Nokia,Drake,https://open.spotify.com/search/Nokia%20Drake,
2025,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",https://open.spotify.com/search/Golden%20HUNTR/X%3A%20EJAE%2C%20Audrey%20Nuna%20%26%20REI%20AMI,
2025,Wildflower,Billie Eilish,https://open.spotify.com/search/Wildflower%20Billie%20Eilish,
2025,What I Want,Morgan Wallen feat. Tate McRae,https://open.spotify.com/search/What%20I%20Want%20Morgan%20Wallen%20feat.%20Tate%20McRae,
2025,Messy,Lola Young,https://open.spotify.com/search/Messy%20Lola%20Young,
2025,Stargazing,Myles Smith,https://open.spotify.com/search/Stargazing%20Myles%20Smith,
2025,Love Me Not,Ravyn Lenae,https://open.spotify.com/search/Love%20Me%20Not%20Ravyn%20Lenae,
2025,No One Noticed,The Marias,https://open.spotify.com/search/No%20One%20Noticed%20The%20Marias,
2025,All the Way,BigXthaPlug feat. Bailey Zimmerman,https://open.spotify.com/search/All%20the%20Way%20BigXthaPlug%20feat.%20Bailey%20Zimmerman,
2025,Worst Way,Riley Green,https://open.spotify.com/search/Worst%20Way%20Riley%20Green,
2025,Sailor Song,Gigi Perez,https://open.spotify.com/search/Sailor%20Song%20Gigi%20Perez,
2025,Sorry I'm Here for Someone Else,Benson Boone,https://open.spotify.com/search/Sorry%20I%27m%20Here%20for%20Someone%20Else%20Benson%20Boone,
2025,Manchild,Sabrina Carpenter,https://open.spotify.com/search/Manchild%20Sabrina%20Carpenter,
2026,Choosin' Texas,Ella Langley,https://open.spotify.com/search/Choosin%27%20Texas%20Ella%20Langley,
2026,Janice STFU,Drake,https://open.spotify.com/search/Janice%20STFU%20Drake,
2026,The Fate of Ophelia,Taylor Swift,https://open.spotify.com/search/The%20Fate%20of%20Ophelia%20Taylor%20Swift,
2026,Opalite,Taylor Swift,https://open.spotify.com/search/Opalite%20Taylor%20Swift,
2026,"I Knew It, I Knew You",Taylor Swift,https://open.spotify.com/search/I%20Knew%20It%2C%20I%20Knew%20You%20Taylor%20Swift,
2026,I Just Might,Bruno Mars,https://open.spotify.com/search/I%20Just%20Might%20Bruno%20Mars,
2026,Man I Need,Olivia Dean,https://open.spotify.com/search/Man%20I%20Need%20Olivia%20Dean,
2026,Aperture,Harry Styles,https://open.spotify.com/search/Aperture%20Harry%20Styles,
